time,fxrv_highvol_usd_63d
2018-10-31 00:00:00+00:00,0.0
2018-11-30 00:00:00+00:00,0.0
2018-12-31 00:00:00+00:00,0.0
2019-01-31 00:00:00+00:00,0.00019605109624465378
2019-02-28 00:00:00+00:00,0.0
2019-03-31 00:00:00+00:00,0.0
2019-04-30 00:00:00+00:00,0.0
2019-05-31 00:00:00+00:00,0.0
2019-06-30 00:00:00+00:00,0.0
2019-07-31 00:00:00+00:00,0.0
2019-08-31 00:00:00+00:00,0.0
2019-09-30 00:00:00+00:00,0.0
2019-10-31 00:00:00+00:00,0.0
2019-11-30 00:00:00+00:00,0.0
2019-12-31 00:00:00+00:00,0.0
2020-01-31 00:00:00+00:00,0.0
2020-02-29 00:00:00+00:00,0.0
2020-03-31 00:00:00+00:00,0.02302076873275105
2020-04-30 00:00:00+00:00,-0.007091027779446812
2020-05-31 00:00:00+00:00,-0.003690726663120869
2020-06-30 00:00:00+00:00,-0.008429099393219341
2020-07-31 00:00:00+00:00,0.0
2020-08-31 00:00:00+00:00,0.0
2020-09-30 00:00:00+00:00,0.0
2020-10-31 00:00:00+00:00,0.0
2020-11-30 00:00:00+00:00,0.0
2020-12-31 00:00:00+00:00,0.0
2021-01-31 00:00:00+00:00,0.0
2021-02-28 00:00:00+00:00,0.0
2021-03-31 00:00:00+00:00,0.0
2021-04-30 00:00:00+00:00,0.0
2021-05-31 00:00:00+00:00,0.0
2021-06-30 00:00:00+00:00,0.0
2021-07-31 00:00:00+00:00,0.0
2021-08-31 00:00:00+00:00,0.0
2021-09-30 00:00:00+00:00,0.0
2021-10-31 00:00:00+00:00,0.0
2021-11-30 00:00:00+00:00,0.0
2021-12-31 00:00:00+00:00,0.0
2022-01-31 00:00:00+00:00,0.0
2022-02-28 00:00:00+00:00,0.0
2022-03-31 00:00:00+00:00,-0.00731679695796672
2022-04-30 00:00:00+00:00,0.026803797888978576
2022-05-31 00:00:00+00:00,-0.006538217362768162
2022-06-30 00:00:00+00:00,0.015089870077907186
2022-07-31 00:00:00+00:00,-0.0012217138732999455
2022-08-31 00:00:00+00:00,0.014736156113535293
2022-09-30 00:00:00+00:00,0.016935344760533377
2022-10-31 00:00:00+00:00,-0.0005493074407830756
2022-11-30 00:00:00+00:00,-0.020408605958084913
2022-12-31 00:00:00+00:00,-0.011179486485231926
2023-01-31 00:00:00+00:00,-0.008893271483414789
2023-02-28 00:00:00+00:00,0.0
2023-03-31 00:00:00+00:00,0.0
2023-04-30 00:00:00+00:00,0.0
2023-05-31 00:00:00+00:00,0.0
2023-06-30 00:00:00+00:00,0.0
2023-07-31 00:00:00+00:00,0.0
2023-08-31 00:00:00+00:00,0.0
2023-09-30 00:00:00+00:00,0.0
2023-10-31 00:00:00+00:00,0.0
2023-11-30 00:00:00+00:00,0.0
2023-12-31 00:00:00+00:00,0.0
2024-01-31 00:00:00+00:00,0.0
2024-02-29 00:00:00+00:00,0.0
2024-03-31 00:00:00+00:00,0.0
2024-04-30 00:00:00+00:00,0.0
2024-05-31 00:00:00+00:00,0.0
2024-06-30 00:00:00+00:00,0.0
2024-07-31 00:00:00+00:00,0.0
2024-08-31 00:00:00+00:00,0.0
2024-09-30 00:00:00+00:00,-0.0004829217340068803
2024-10-31 00:00:00+00:00,0.020512267331248557
2024-11-30 00:00:00+00:00,0.006305018951487051
2024-12-31 00:00:00+00:00,0.014360253901373188
2025-01-31 00:00:00+00:00,-0.0037084250537358088
2025-02-28 00:00:00+00:00,-0.0008685689312384337
2025-03-31 00:00:00+00:00,-0.009378481038131992
2025-04-30 00:00:00+00:00,-0.02203676361345186
2025-05-31 00:00:00+00:00,-0.0020928934949371314
2025-06-30 00:00:00+00:00,-0.010153825540731187
2025-07-31 00:00:00+00:00,0.00413120999336547
2025-08-31 00:00:00+00:00,0.0
2025-09-30 00:00:00+00:00,0.0
2025-10-31 00:00:00+00:00,0.0
2025-11-30 00:00:00+00:00,0.0
2025-12-31 00:00:00+00:00,0.0
2026-01-31 00:00:00+00:00,0.0
2026-02-28 00:00:00+00:00,0.0
2026-03-31 00:00:00+00:00,0.0
2026-04-30 00:00:00+00:00,0.0
2026-05-31 00:00:00+00:00,0.0
2026-06-30 00:00:00+00:00,0.0
2026-07-31 00:00:00+00:00,0.0
2026-08-31 00:00:00+00:00,0.0
2026-09-30 00:00:00+00:00,0.0
